Step,time,passes,recirculated,discarded,keff,keff_relative_uncertainty,keff_absolute_uncertainty,neutrons_per_cycle,power_normalization_value,DEM_step_increment,threshold_fuel,time_step
51,638.1119999999995,2.5504076738609096,1563.0,342.0,1.011286309336244,0.0005550074566844,0.0005612714425245,50000,10000000.0,1,72,12.512
52,650.6239999999995,2.600415667466025,1563.0,371.0,1.0116089107623294,0.0005851455305017,0.0005919384327483,50000,10000000.0,1,72,12.512
53,663.1359999999995,2.650423661071141,1563.0,370.0,1.0124526704811614,0.0005764298677489,0.0005836079589475,50000,10000000.0,1,72,12.512
54,675.6479999999995,2.700431654676257,1563.0,378.0,1.0139954303407748,0.0005332213098342,0.0005406839715322,50000,10000000.0,1,72,12.512
55,688.1599999999994,2.7504396482813727,1563.0,376.0,1.0142953591701476,0.000527706400886,0.000535250153423,50000,10000000.0,1,72,12.512
56,700.6719999999993,2.800447641886488,1563.0,350.0,1.015406463325557,0.0005722978215929,0.0005811149069926,50000,10000000.0,1,72,12.512
57,713.1839999999993,2.850455635491604,1563.0,345.0,1.01536878104576,0.0005860013411766,0.0005950074674816,50000,10000000.0,1,72,12.512
58,725.6959999999993,2.90046362909672,1563.0,361.0,1.0155891036675626,0.0005607703009073,0.0005695122072618,50000,10000000.0,1,72,12.512
59,738.2079999999993,2.950471622701836,1563.0,389.0,1.0165221853718964,0.0005524893448183,0.0005616176761894,50000,10000000.0,1,72,12.512
60,750.7199999999992,3.000479616306951,1563.0,373.0,1.018212264745255,0.0005406031233863,0.0005504487305915,50000,10000000.0,1,72,12.512
61,763.2319999999992,3.050487609912067,1563.0,330.0,1.01691093361704,0.0005408797820269,0.0005500265641156,50000,10000000.0,1,72,12.512
62,775.7439999999991,3.100495603517183,1563.0,365.0,1.017797568846197,0.0005524993820521,0.0005623325278417,50000,10000000.0,1,72,12.512
63,788.2559999999992,3.1505035971222988,1563.0,374.0,1.0177433907569815,0.0005794257207434,0.0005897066977212,50000,10000000.0,1,72,12.512
64,800.7679999999991,3.200511590727414,1563.0,321.0,1.018612300477142,0.0005430429901555,0.0005531502694603,50000,10000000.0,1,72,12.512
65,813.2799999999992,3.2505195843325305,1563.0,335.0,1.0183022119118228,0.0005419802097031,0.0005518996463531,50000,10000000.0,1,72,12.512
