,r,id,dist,initial,passes,residence_time,insertion_step,avg_r_dist,burnup,integrated_flux_pebbles_thermal,integrated_flux_pebbles_thermal_unc,integrated_flux_pebbles_thermal_rel_unc,integrated_flux_pebbles_fast,integrated_flux_pebbles_fast_unc,integrated_flux_pebbles_fast_rel_unc,integrated_power_pebbles,integrated_power_pebbles_unc,integrated_power_pebbles_rel_unc,922350,922380,942390,942410,541350,551370
472,3.0,3136,98.46064345415597,1,2,64.8,0,47.220783421737984,23.82465702912768,1.415499491206574e+20,2.9606812465596723e+18,0.020916159030449265,4.5929346884160954e+19,1.7485045136719524e+18,0.03806943996137981,3895545337.1232615,250541028.98217478,0.06431475115809883,0.0037000416415154027,0.01922063951090735,2.2140803882607665e-05,2.098586903944077e-08,1.504957966851357e-08,1.5338090973485108e-05
564,3.0,14093,45.588409476486895,1,2,64.8,0,30.66678735438473,41.73170972055385,1.3532305974049908e+20,2.664135322738797e+18,0.019687223506826182,6.550446184928806e+19,1.9137601059196856e+18,0.029215721370596765,3213409444.2507787,209800862.4927363,0.06528917840460643,0.00374909838895919,0.019216807348215764,2.600454834758621e-05,2.0107922655201027e-08,6.43244327505485e-10,1.2650795529195754e-05
576,3.0,15491,42.01928915393522,1,2,64.8,0,22.88902021012822,64.48692699455607,1.3631078315503501e+20,2.7047254087949885e+18,0.019842343695720174,7.112560904713274e+19,1.9897497594436675e+18,0.027975152495708287,3211537592.1434827,209205594.68033645,0.06514187945117776,0.0037498436865832357,0.01921684440675593,2.591862371116159e-05,3.630234553778883e-08,1.3757458504193134e-09,1.2638628849060078e-05
582,3.0,16788,53.62663508368829,1,2,64.8,0,29.273108180584693,57.658549293334175,1.5671060571664476e+20,3.0967601370847396e+18,0.01976101185317429,8.427348697156606e+19,2.3400755811697193e+18,0.027767636836473403,3672289982.955609,237069937.78808853,0.06455643178736255,0.00371492942353576,0.019212929206727156,2.900655377002386e-05,2.766135156024543e-08,1.740961992887601e-08,1.446303158665781e-05
604,3.0,16072,42.50376962180768,1,2,64.8,0,19.177382996241366,71.78336454061328,1.3768492476897934e+20,2.689659313862108e+18,0.019534886033275398,7.083875331188632e+19,2.0601521902484995e+18,0.029082276210849384,3314072778.900019,215739842.90536246,0.06509810052420427,0.003740618675616126,0.01921632073737871,2.6463680617420483e-05,1.558404289078965e-08,3.0450316856998748e-09,1.3053597975289302e-05
615,3.0,17588,51.74852434894272,1,2,64.8,0,21.822211121358144,17.209746643580516,1.6209697437524676e+20,3.1136749701383613e+18,0.01920871738747173,8.498304597977417e+19,2.3547675057470213e+18,0.02770867387252102,3801492342.968709,240559889.6724019,0.06328038253643854,0.0037052347323949216,0.019208620132729864,3.288895011978667e-05,4.9357920397039076e-08,1.8178776850798728e-08,1.4975757716097656e-05
677,3.0,7048,72.92048653143782,1,2,64.8,0,41.7374167948892,56.169132628696545,1.2019840830896901e+20,2.5971621112889226e+18,0.021607292041779278,5.1918067881495085e+19,1.7366391385668035e+18,0.03344961030774001,3017022038.402018,210764516.83610743,0.06985846114261067,0.003765780490619036,0.019222289569210616,2.087500962518102e-05,8.87291519572147e-09,4.775968841141488e-09,1.1879933208852434e-05
711,3.0,8023,70.58296277820658,1,2,64.8,0,43.738278353030516,34.01734461552671,1.3290282985447547e+20,2.788021873188566e+18,0.020977896981135502,6.7681173881988784e+19,2.092109125197642e+18,0.03091124171169837,3220402363.454823,219774172.08021876,0.06824432082593763,0.0037495335632072623,0.019220089435736526,2.2735111030382942e-05,2.200771298519881e-08,8.273855982878695e-09,1.2680482883285924e-05
797,3.0,12711,51.213972750890775,1,2,64.8,0,34.92583158207491,40.10423060011304,1.3014901204106233e+20,2.6726174117470495e+18,0.02053505723811282,6.442315102687431e+19,1.913019733105561e+18,0.029694600506385338,3112323777.7408204,205778611.30142677,0.0661173534621124,0.0037572414933329874,0.019218725521220573,2.4188916916231204e-05,3.1848113533208565e-08,1.774349452735527e-09,1.2257715780762032e-05
820,3.0,7730,69.01266334798883,1,2,64.8,0,39.88265553356171,30.676325838773813,1.142984737105259e+20,2.435808676454922e+18,0.021310946659041916,5.554780108309266e+19,1.817729397336298e+18,0.03272369674214825,3002914405.165304,200264696.25939554,0.06669011141806801,0.0037654342773464824,0.019224655967251883,1.8660268325412536e-05,6.8108481045811414e-09,1.7333243234319242e-09,1.1814268698397068e-05
