,r,id,dist,initial,passes,residence_time,insertion_step,avg_r_dist,burnup,integrated_flux_pebbles_thermal,integrated_flux_pebbles_thermal_unc,integrated_flux_pebbles_thermal_rel_unc,integrated_flux_pebbles_fast,integrated_flux_pebbles_fast_unc,integrated_flux_pebbles_fast_rel_unc,integrated_power_pebbles,integrated_power_pebbles_unc,integrated_power_pebbles_rel_unc,922350,922380,942390,942410,541350,551370
459,3.0,18643,72.34866132119038,1,2,86.39999999999999,0,39.67214706303895,25.221169805942573,2.2038567161408982e+20,4.210246300671695e+18,0.0191039928768333,1.0942976355169513e+20,3.08680191329503e+18,0.028208065275009117,5084538804.724873,328987195.2827933,0.06470344861505978,0.0036086971180197963,0.019199582080511892,3.957867026105894e-05,1.180744343418261e-07,2.044859206767318e-08,2.0025341508944935e-05
538,3.0,18983,65.73457855355328,1,2,86.39999999999999,0,29.49898224886232,,2.1925322363820415e+20,4.2264361422590223e+18,0.01927650627948432,9.699428587424113e+19,2.7947722529719475e+18,0.028813782459262974,,,,,,,,,
550,3.0,14035,64.73392390293839,1,2,86.39999999999999,0,43.586158566341226,69.96142062110023,1.8760331865860558e+20,3.7743243553053967e+18,0.0201186438613796,9.189923647990068e+19,2.7144780250816333e+18,0.029537547090234182,4478317509.810589,295433643.4561237,0.06596978503844832,0.003654124510485445,0.01921014411145893,3.164981050393095e-05,3.302493210656925e-08,1.686005860258218e-09,1.7632853889284658e-05
554,3.0,18460,65.77345817714397,1,2,86.39999999999999,0,31.27446298367916,39.134026286113745,2.0051308781649468e+20,3.8588012269616353e+18,0.01924463519554957,9.763985173548266e+19,2.807049025450674e+18,0.02874900950336637,4556350350.627092,296533939.4294533,0.06508146139127366,0.0036493092963599833,0.019196504222911248,4.361648156083735e-05,6.739885572817864e-08,4.839801411799291e-10,1.7939065447050745e-05
561,3.0,19062,60.94083088678813,0,1,0.0,9,24.081770532176563,72.93559064472285,0.0,0.0,0.01922062219504918,0.0,0.0,0.027838688786167253,0.0,0.0,0.06372664216208639,0.00399213959998326,0.019244838360094756,0.0,0.0,0.0,0.0
563,3.0,9072,68.05876905787393,1,2,86.39999999999999,0,44.0332655072699,67.30677087142432,1.6633370861000304e+20,3.580758120215253e+18,0.021527555359274374,8.068013673500934e+19,2.512992006472678e+18,0.031147592309201198,3926011870.294936,276260205.0670804,0.07036662501133159,0.0036966440384987183,0.019214243062459776,2.7919691115693386e-05,4.80789863461947e-08,3.4003462674415617e-09,1.5466014493223923e-05
567,3.0,10563,68.92437374799893,1,2,86.39999999999999,0,51.46015209332828,,2.0392557040425625e+20,4.2121884492457754e+18,0.02065551878018854,8.798089849711082e+19,2.7359955235557176e+18,0.031097608347857054,,,,,,,,,
613,3.0,20317,66.08527463742192,1,2,86.39999999999999,0,15.92283591140257,,2.170717269594963e+20,4.1120060259358126e+18,0.01894307510025512,9.612393316062005e+19,2.7521256192147036e+18,0.028631013408658475,,,,,,,,,
624,3.0,20775,72.81694910097286,1,2,86.39999999999999,0,23.453940442344035,,2.335057520473906e+20,4.436428024000834e+18,0.018999223724049632,1.0637613457408868e+20,2.957675313005196e+18,0.02780393670861615,,,,,,,,,
650,3.0,15483,59.749542021963386,1,2,86.39999999999999,0,38.15288494430948,,2.1127630735432342e+20,4.184964971257911e+18,0.01980801834177964,9.176976015696814e+19,2.713034297678925e+18,0.029563489029920082,,,,,,,,,
668,3.0,3354,99.72279486511192,1,2,86.39999999999999,0,48.776854655194754,60.28504316360363,1.7627253364026645e+20,3.7329541948957645e+18,0.021177174445758548,5.695936373536121e+19,2.2113743789122025e+18,0.03882371982219578,4696165646.030086,305484282.28965414,0.06504972467227513,0.0036401414742970985,0.01921595638529871,2.6211228616274976e-05,1.3608138013407545e-08,4.641328359742896e-09,1.8483981796768585e-05
676,3.0,11319,64.27674073775846,1,2,86.39999999999999,0,44.899399006730306,67.71107030279606,1.7544554792295956e+20,3.6432508285466496e+18,0.02076570691977005,8.722356614413527e+19,2.629358909276745e+18,0.03014505168169552,4193092028.749657,285333081.00063634,0.06804837075939879,0.0036761586515548918,0.019209818189141737,3.173346220264892e-05,2.7357413403478408e-08,1.117005525499151e-09,1.651280174851458e-05
753,3.0,7678,72.81561510505684,1,2,86.39999999999999,0,45.52930661507279,24.93190276418763,1.7499478388725868e+20,3.743595014830818e+18,0.021392609149096974,8.289756706124884e+19,2.677385395090476e+18,0.03229751475230016,4313684843.090383,297689765.4871561,0.06901055044945914,0.0036686301998944838,0.01921246055875593,2.904850694528003e-05,2.5643785544090034e-08,5.371455352742798e-09,1.6977785299794387e-05
