,r,id,dist,initial,passes,residence_time,insertion_step,avg_r_dist,burnup,integrated_flux_pebbles_thermal,integrated_flux_pebbles_thermal_unc,integrated_flux_pebbles_thermal_rel_unc,integrated_flux_pebbles_fast,integrated_flux_pebbles_fast_unc,integrated_flux_pebbles_fast_rel_unc,integrated_power_pebbles,integrated_power_pebbles_unc,integrated_power_pebbles_rel_unc,922350,922380,942390,942410,541350,551370,discard_step
11276,3.0,7413,56.66410157752237,1,1,43.2,0,30.092611544930037,74.37333410658168,6.384543398790512e+19,1.46134659618265e+18,0.022888819213907882,2.8421775227764814e+19,9.723012433175683e+17,0.03420972953046724,1599688618.9718683,117414702.07634029,0.07339847310522443,0.003870956674778283,0.019233962026746255,1.0455813057783152e-05,3.007107554180842e-09,3.867067946824785e-09,6.312789049736735e-06,4
13622,3.0,2696,96.51162160291426,1,1,43.2,0,34.88517752129156,72.55355641855512,6.033895153513809e+19,1.3584890911204728e+18,0.022514297258369887,1.966649236358136e+19,8.134878371873612e+17,0.041364154936636664,1643849809.901005,114773004.5099268,0.06981964156253337,0.0038687217373887524,0.019236549531388956,7.978407035499954e-06,9.315622969237953e-10,6.205127683264466e-10,6.465082430653722e-06,4
13745,3.0,6831,66.36088462309911,1,1,43.2,0,35.35607459119989,74.19994610089827,8.087333569978527e+19,1.7347714694624e+18,0.021450475047822295,3.5671253103047954e+19,1.1985585216961334e+18,0.03360012383735748,2079460315.4367397,144851405.74051842,0.06965817268318292,0.003834592540127834,0.019229471355848907,1.4490145739653232e-05,3.556628282302854e-09,1.246378328579284e-08,8.20877735096674e-06,4
14241,3.0,13389,36.91301906960895,1,1,43.2,0,25.53216385013763,75.89658855546243,9.870466831596364e+19,1.958119371853246e+18,0.01983816373897441,4.820117377796425e+19,1.4036060471374246e+18,0.029119748278393587,2282056776.0616193,150985105.94378728,0.06616185343309373,0.0038186873941015486,0.01922500250015121,1.8605721642186318e-05,3.993357081791391e-09,1.7615582119285356e-08,9.007714443286745e-06,4
14417,3.0,3443,88.16831350577395,1,1,43.2,0,38.0263236801478,74.19361209587524,8.335204387523189e+19,1.7866176721116503e+18,0.021434599429691305,3.0464154399551537e+19,1.1108181760195622e+18,0.03646312191865449,2124563762.2741065,144158908.30089965,0.06785341577444291,0.0038319770306477537,0.019233302006797074,1.0853433679607733e-05,1.576837010544049e-09,1.1017797520211784e-08,8.379931444133703e-06,4
14488,3.0,8024,61.502010114011725,1,1,43.2,0,32.67594815122601,73.77155596614159,6.978951839139362e+19,1.5591202806894687e+18,0.022340321535758555,3.2828399410289218e+19,1.084208948712864e+18,0.03302655530543614,1744103173.293704,124198256.15403415,0.07121038368360297,0.0038597991094120264,0.019234633655162762,9.785962015843879e-06,2.236854745331456e-09,2.828201256980789e-09,6.8807490108190094e-06,4
14545,3.0,10691,47.34518754991999,1,1,43.2,0,30.87824458893028,72.67118464246717,7.836466995914896e+19,1.67093342858807e+18,0.021322535135528772,3.701132040003276e+19,1.1456592624929484e+18,0.030954293175985536,2014771464.5201619,133810913.97835253,0.06641493406807851,0.0038397245756879484,0.01923117101495692,1.2792489841784433e-05,1.903581557602519e-09,5.402835786613536e-09,7.927194908663845e-06,4
14743,3.0,3387,87.81499279370979,1,1,43.2,0,34.726130660046316,73.33692032587129,6.355095586268258e+19,1.4296651159582423e+18,0.02249635896975939,2.2498410652860686e+19,8.40116280894507e+17,0.03734113906342472,1667122130.5321646,118166215.8481624,0.07088035944339746,0.0038661234448251806,0.01923560317271306,8.904534970987768e-06,1.2232818934668995e-09,1.305602209633039e-09,6.570199759819759e-06,4
15019,3.0,12637,40.459579604593465,1,1,43.2,0,29.583328952032495,75.70140575278967,9.283570851023738e+19,1.9297109226083397e+18,0.020786300374877224,4.958480840002955e+19,1.4254518533589053e+18,0.02874775358329419,2322021745.7161183,153443223.47017547,0.06608173405492941,0.003815660424204956,0.01922568211618963,1.7805229400553234e-05,7.094206597342955e-09,1.845171111073603e-08,9.150489285221616e-06,4
15422,3.0,10152,51.614930051491136,1,1,43.2,0,32.40698675106436,75.38726484602931,8.649758088702815e+19,1.8380637194453074e+18,0.021249885841847373,4.417818236700598e+19,1.327321581995823e+18,0.03004473047282089,2116464687.7747936,145744287.77346963,0.068862140065612,0.0038307618138634907,0.019224552565408778,1.9243236869016936e-05,4.004256606417234e-09,1.1408813622519947e-08,8.354575798554148e-06,4
